,Tau,Method,Recovery
1079,5.0,Randomized,0
1080,0.0,Naive,1
1081,0.025,Randomized,1
1082,0.05,Randomized,1
1083,0.1,Randomized,1
1084,0.25,Randomized,0
1085,0.5,Randomized,0
1086,1.0,Randomized,0
1087,5.0,Randomized,0
1088,0.0,Naive,1
1089,0.025,Randomized,1
1090,0.05,Randomized,1
1091,0.1,Randomized,1
1092,0.25,Randomized,1
1093,0.5,Randomized,0
1094,1.0,Randomized,0
1095,5.0,Randomized,0
1096,0.0,Naive,1
1097,0.025,Randomized,1
1098,0.05,Randomized,1
1099,0.1,Randomized,1
1100,0.25,Randomized,0
1101,0.5,Randomized,0
1102,1.0,Randomized,0
1103,5.0,Randomized,0
1104,0.0,Naive,1
1105,0.025,Randomized,1
1106,0.05,Randomized,1
1107,0.1,Randomized,0
1108,0.25,Randomized,1
1109,0.5,Randomized,0
1110,1.0,Randomized,0
1111,5.0,Randomized,0
1112,0.0,Naive,1
1113,0.025,Randomized,1
1114,0.05,Randomized,1
1115,0.1,Randomized,1
1116,0.25,Randomized,0
1117,0.5,Randomized,0
1118,1.0,Randomized,0
1119,5.0,Randomized,0
1120,0.0,Naive,1
1121,0.025,Randomized,1
1122,0.05,Randomized,1
1123,0.1,Randomized,0
1124,0.25,Randomized,0
1125,0.5,Randomized,0
1126,1.0,Randomized,0
1127,5.0,Randomized,0
1128,0.0,Naive,1
1129,0.025,Randomized,1
1130,0.05,Randomized,1
1131,0.1,Randomized,0
1132,0.25,Randomized,1
1133,0.5,Randomized,0
1134,1.0,Randomized,0
1135,5.0,Randomized,0
1136,0.0,Naive,1
1137,0.025,Randomized,1
1138,0.05,Randomized,1
1139,0.1,Randomized,1
1140,0.25,Randomized,0
1141,0.5,Randomized,0
1142,1.0,Randomized,0
1143,5.0,Randomized,0
1144,0.0,Naive,1
1145,0.025,Randomized,1
1146,0.05,Randomized,1
1147,0.1,Randomized,1
1148,0.25,Randomized,1
1149,0.5,Randomized,0
1150,1.0,Randomized,0
1151,5.0,Randomized,0
1152,0.0,Naive,1
1153,0.025,Randomized,1
1154,0.05,Randomized,1
1155,0.1,Randomized,1
1156,0.25,Randomized,1
1157,0.5,Randomized,0
1158,1.0,Randomized,0
1159,5.0,Randomized,0
1160,0.0,Naive,1
1161,0.025,Randomized,1
1162,0.05,Randomized,1
1163,0.1,Randomized,1
1164,0.25,Randomized,1
1165,0.5,Randomized,0
1166,1.0,Randomized,0
1167,5.0,Randomized,0
1168,0.0,Naive,1
1169,0.025,Randomized,1
1170,0.05,Randomized,1
1171,0.1,Randomized,1
1172,0.25,Randomized,0
1173,0.5,Randomized,0
1174,1.0,Randomized,0
1175,5.0,Randomized,0
1176,0.0,Naive,1
1177,0.025,Randomized,1
1178,0.05,Randomized,1
1179,0.1,Randomized,1
1180,0.25,Randomized,1
1181,0.5,Randomized,1
1182,1.0,Randomized,0
1183,5.0,Randomized,0
1184,0.0,Naive,1
1185,0.025,Randomized,1
1186,0.05,Randomized,1
1187,0.1,Randomized,1
1188,0.25,Randomized,1
1189,0.5,Randomized,0
1190,1.0,Randomized,0
1191,5.0,Randomized,0
1192,0.0,Naive,1
1193,0.025,Randomized,1
1194,0.05,Randomized,1
1195,0.1,Randomized,1
1196,0.25,Randomized,1
1197,0.5,Randomized,0
1198,1.0,Randomized,0
1199,5.0,Randomized,0
1200,0.0,Naive,1
1201,0.025,Randomized,1
1202,0.05,Randomized,1
1203,0.1,Randomized,1
1204,0.25,Randomized,0
1205,0.5,Randomized,0
1206,1.0,Randomized,0
1207,5.0,Randomized,0
1208,0.0,Naive,0
1209,0.025,Randomized,0
1210,0.05,Randomized,0
1211,0.1,Randomized,0
1212,0.25,Randomized,0
1213,0.5,Randomized,0
1214,1.0,Randomized,0
1215,5.0,Randomized,0
1216,0.0,Naive,1
1217,0.025,Randomized,1
1218,0.05,Randomized,1
1219,0.1,Randomized,0
1220,0.25,Randomized,0
1221,0.5,Randomized,0
1222,1.0,Randomized,0
1223,5.0,Randomized,0
1224,0.0,Naive,1
1225,0.025,Randomized,1
1226,0.05,Randomized,1
1227,0.1,Randomized,1
1228,0.25,Randomized,1
1229,0.5,Randomized,1
1230,1.0,Randomized,0
1231,5.0,Randomized,0
1232,0.0,Naive,1
1233,0.025,Randomized,1
1234,0.05,Randomized,1
1235,0.1,Randomized,1
1236,0.25,Randomized,1
1237,0.5,Randomized,0
1238,1.0,Randomized,0
1239,5.0,Randomized,0
1240,0.0,Naive,1
1241,0.025,Randomized,1
1242,0.05,Randomized,1
1243,0.1,Randomized,1
1244,0.25,Randomized,1
1245,0.5,Randomized,0
1246,1.0,Randomized,0
1247,5.0,Randomized,0
1248,0.0,Naive,1
1249,0.025,Randomized,1
1250,0.05,Randomized,1
1251,0.1,Randomized,1
1252,0.25,Randomized,1
1253,0.5,Randomized,0
1254,1.0,Randomized,0
1255,5.0,Randomized,0
1256,0.0,Naive,1
1257,0.025,Randomized,1
1258,0.05,Randomized,1
1259,0.1,Randomized,1
1260,0.25,Randomized,1
1261,0.5,Randomized,0
1262,1.0,Randomized,0
1263,5.0,Randomized,0
1264,0.0,Naive,1
1265,0.025,Randomized,1
1266,0.05,Randomized,1
1267,0.1,Randomized,1
1268,0.25,Randomized,0
1269,0.5,Randomized,0
1270,1.0,Randomized,0
1271,5.0,Randomized,0
1272,0.0,Naive,0
1273,0.025,Randomized,0
1274,0.05,Randomized,0
1275,0.1,Randomized,0
1276,0.25,Randomized,0
1277,0.5,Randomized,0
1278,1.0,Randomized,0
1279,5.0,Randomized,0
1280,0.0,Naive,1
1281,0.025,Randomized,1
1282,0.05,Randomized,1
1283,0.1,Randomized,1
1284,0.25,Randomized,0
1285,0.5,Randomized,0
1286,1.0,Randomized,0
1287,5.0,Randomized,0
1288,0.0,Naive,0
1289,0.025,Randomized,0
1290,0.05,Randomized,0
1291,0.1,Randomized,1
1292,0.25,Randomized,0
1293,0.5,Randomized,0
1294,1.0,Randomized,0
1295,5.0,Randomized,0
1296,0.0,Naive,1
1297,0.025,Randomized,1
1298,0.05,Randomized,1
1299,0.1,Randomized,1
1300,0.25,Randomized,0
1301,0.5,Randomized,1
1302,1.0,Randomized,0
1303,5.0,Randomized,0
1304,0.0,Naive,1
1305,0.025,Randomized,1
1306,0.05,Randomized,1
1307,0.1,Randomized,1
1308,0.25,Randomized,1
1309,0.5,Randomized,0
1310,1.0,Randomized,0
1311,5.0,Randomized,0
1312,0.0,Naive,1
1313,0.025,Randomized,1
1314,0.05,Randomized,1
1315,0.1,Randomized,1
1316,0.25,Randomized,0
1317,0.5,Randomized,0
1318,1.0,Randomized,0
1319,5.0,Randomized,0
1320,0.0,Naive,1
1321,0.025,Randomized,1
1322,0.05,Randomized,1
1323,0.1,Randomized,1
1324,0.25,Randomized,1
1325,0.5,Randomized,0
1326,1.0,Randomized,0
1327,5.0,Randomized,0
1328,0.0,Naive,1
1329,0.025,Randomized,1
1330,0.05,Randomized,1
1331,0.1,Randomized,1
1332,0.25,Randomized,1
1333,0.5,Randomized,0
1334,1.0,Randomized,0
1335,5.0,Randomized,0
1336,0.0,Naive,1
1337,0.025,Randomized,1
1338,0.05,Randomized,1
1339,0.1,Randomized,1
1340,0.25,Randomized,1
1341,0.5,Randomized,0
1342,1.0,Randomized,0
1343,5.0,Randomized,0
1344,0.0,Naive,1
1345,0.025,Randomized,1
1346,0.05,Randomized,1
1347,0.1,Randomized,1
1348,0.25,Randomized,1
1349,0.5,Randomized,0
1350,1.0,Randomized,0
1351,5.0,Randomized,0
1352,0.0,Naive,1
1353,0.025,Randomized,1
1354,0.05,Randomized,1
1355,0.1,Randomized,0
1356,0.25,Randomized,0
1357,0.5,Randomized,0
1358,1.0,Randomized,0
1359,5.0,Randomized,0
1360,0.0,Naive,1
1361,0.025,Randomized,1
1362,0.05,Randomized,1
1363,0.1,Randomized,1
1364,0.25,Randomized,0
1365,0.5,Randomized,0
1366,1.0,Randomized,0
1367,5.0,Randomized,0
1368,0.0,Naive,1
1369,0.025,Randomized,1
1370,0.05,Randomized,1
1371,0.1,Randomized,1
1372,0.25,Randomized,1
1373,0.5,Randomized,0
1374,1.0,Randomized,0
1375,5.0,Randomized,0
1376,0.0,Naive,1
1377,0.025,Randomized,1
1378,0.05,Randomized,1
1379,0.1,Randomized,1
1380,0.25,Randomized,0
1381,0.5,Randomized,0
1382,1.0,Randomized,0
1383,5.0,Randomized,0
1384,0.0,Naive,1
1385,0.025,Randomized,1
1386,0.05,Randomized,1
1387,0.1,Randomized,1
1388,0.25,Randomized,1
1389,0.5,Randomized,0
1390,1.0,Randomized,0
1391,5.0,Randomized,0
1392,0.0,Naive,1
1393,0.025,Randomized,1
1394,0.05,Randomized,1
1395,0.1,Randomized,0
1396,0.25,Randomized,1
1397,0.5,Randomized,0
1398,1.0,Randomized,0
1399,5.0,Randomized,0
1400,0.0,Naive,1
1401,0.025,Randomized,1
1402,0.05,Randomized,1
1403,0.1,Randomized,1
1404,0.25,Randomized,0
1405,0.5,Randomized,0
1406,1.0,Randomized,0
1407,5.0,Randomized,0
1408,0.0,Naive,1
1409,0.025,Randomized,1
1410,0.05,Randomized,1
1411,0.1,Randomized,1
1412,0.25,Randomized,0
1413,0.5,Randomized,1
1414,1.0,Randomized,0
1415,5.0,Randomized,0
1416,0.0,Naive,1
1417,0.025,Randomized,1
1418,0.05,Randomized,1
1419,0.1,Randomized,1
1420,0.25,Randomized,1
1421,0.5,Randomized,0
1422,1.0,Randomized,0
1423,5.0,Randomized,0
1424,0.0,Naive,1
1425,0.025,Randomized,1
1426,0.05,Randomized,1
1427,0.1,Randomized,1
1428,0.25,Randomized,1
1429,0.5,Randomized,1
1430,1.0,Randomized,0
1431,5.0,Randomized,0
1432,0.0,Naive,1
1433,0.025,Randomized,1
1434,0.05,Randomized,1
1435,0.1,Randomized,1
1436,0.25,Randomized,1
1437,0.5,Randomized,1
1438,1.0,Randomized,0
1439,5.0,Randomized,0
1440,0.0,Naive,1
1441,0.025,Randomized,1
1442,0.05,Randomized,1
1443,0.1,Randomized,1
1444,0.25,Randomized,1
1445,0.5,Randomized,0
1446,1.0,Randomized,0
1447,5.0,Randomized,0
1448,0.0,Naive,1
1449,0.025,Randomized,0
1450,0.05,Randomized,0
1451,0.1,Randomized,0
1452,0.25,Randomized,0
1453,0.5,Randomized,0
1454,1.0,Randomized,0
1455,5.0,Randomized,0
1456,0.0,Naive,1
1457,0.025,Randomized,1
1458,0.05,Randomized,1
1459,0.1,Randomized,1
1460,0.25,Randomized,1
1461,0.5,Randomized,0
1462,1.0,Randomized,0
1463,5.0,Randomized,0
1464,0.0,Naive,1
1465,0.025,Randomized,1
1466,0.05,Randomized,1
1467,0.1,Randomized,1
1468,0.25,Randomized,0
1469,0.5,Randomized,0
1470,1.0,Randomized,0
1471,5.0,Randomized,0
1472,0.0,Naive,1
1473,0.025,Randomized,1
1474,0.05,Randomized,1
1475,0.1,Randomized,1
1476,0.25,Randomized,1
1477,0.5,Randomized,0
1478,1.0,Randomized,0
1479,5.0,Randomized,0
1480,0.0,Naive,1
1481,0.025,Randomized,1
1482,0.05,Randomized,1
1483,0.1,Randomized,1
1484,0.25,Randomized,1
1485,0.5,Randomized,0
1486,1.0,Randomized,0
1487,5.0,Randomized,0
1488,0.0,Naive,0
1489,0.025,Randomized,0
1490,0.05,Randomized,0
1491,0.1,Randomized,0
1492,0.25,Randomized,0
1493,0.5,Randomized,0
1494,1.0,Randomized,0
1495,5.0,Randomized,0
1496,0.0,Naive,1
1497,0.025,Randomized,1
1498,0.05,Randomized,1
1499,0.1,Randomized,1
1500,0.25,Randomized,0
1501,0.5,Randomized,0
1502,1.0,Randomized,0
1503,5.0,Randomized,0
1504,0.0,Naive,0
1505,0.025,Randomized,0
1506,0.05,Randomized,0
1507,0.1,Randomized,0
1508,0.25,Randomized,0
1509,0.5,Randomized,0
1510,1.0,Randomized,0
1511,5.0,Randomized,0
1512,0.0,Naive,1
1513,0.025,Randomized,1
1514,0.05,Randomized,1
1515,0.1,Randomized,1
1516,0.25,Randomized,1
1517,0.5,Randomized,0
1518,1.0,Randomized,0
1519,5.0,Randomized,0
1520,0.0,Naive,1
1521,0.025,Randomized,1
1522,0.05,Randomized,1
1523,0.1,Randomized,1
1524,0.25,Randomized,1
1525,0.5,Randomized,0
1526,1.0,Randomized,0
1527,5.0,Randomized,0
1528,0.0,Naive,0
1529,0.025,Randomized,0
1530,0.05,Randomized,0
1531,0.1,Randomized,0
1532,0.25,Randomized,0
1533,0.5,Randomized,1
1534,1.0,Randomized,0
1535,5.0,Randomized,0
1536,0.0,Naive,1
1537,0.025,Randomized,1
1538,0.05,Randomized,1
1539,0.1,Randomized,1
1540,0.25,Randomized,0
1541,0.5,Randomized,0
1542,1.0,Randomized,0
1543,5.0,Randomized,0
1544,0.0,Naive,1
1545,0.025,Randomized,1
1546,0.05,Randomized,1
1547,0.1,Randomized,1
1548,0.25,Randomized,0
1549,0.5,Randomized,0
1550,1.0,Randomized,0
1551,5.0,Randomized,0
1552,0.0,Naive,1
1553,0.025,Randomized,1
1554,0.05,Randomized,1
1555,0.1,Randomized,1
1556,0.25,Randomized,1
1557,0.5,Randomized,1
1558,1.0,Randomized,0
1559,5.0,Randomized,0
1560,0.0,Naive,1
1561,0.025,Randomized,1
1562,0.05,Randomized,1
1563,0.1,Randomized,0
1564,0.25,Randomized,0
1565,0.5,Randomized,0
1566,1.0,Randomized,0
1567,5.0,Randomized,0
1568,0.0,Naive,1
1569,0.025,Randomized,0
1570,0.05,Randomized,0
1571,0.1,Randomized,0
1572,0.25,Randomized,0
1573,0.5,Randomized,0
1574,1.0,Randomized,0
1575,5.0,Randomized,0
1576,0.0,Naive,1
1577,0.025,Randomized,1
1578,0.05,Randomized,1
1579,0.1,Randomized,1
1580,0.25,Randomized,0
1581,0.5,Randomized,0
1582,1.0,Randomized,0
1583,5.0,Randomized,0
1584,0.0,Naive,1
1585,0.025,Randomized,1
1586,0.05,Randomized,1
1587,0.1,Randomized,1
1588,0.25,Randomized,1
1589,0.5,Randomized,0
1590,1.0,Randomized,0
1591,5.0,Randomized,0
1592,0.0,Naive,1
1593,0.025,Randomized,1
1594,0.05,Randomized,1
1595,0.1,Randomized,1
1596,0.25,Randomized,1
1597,0.5,Randomized,0
1598,1.0,Randomized,0
1599,5.0,Randomized,0
1600,0.0,Naive,1
1601,0.025,Randomized,1
1602,0.05,Randomized,1
1603,0.1,Randomized,1
1604,0.25,Randomized,1
1605,0.5,Randomized,0
1606,1.0,Randomized,0
1607,5.0,Randomized,0
1608,0.0,Naive,0
1609,0.025,Randomized,0
1610,0.05,Randomized,0
1611,0.1,Randomized,0
1612,0.25,Randomized,0
1613,0.5,Randomized,0
1614,1.0,Randomized,0
1615,5.0,Randomized,0
1616,0.0,Naive,0
1617,0.025,Randomized,0
1618,0.05,Randomized,0
1619,0.1,Randomized,0
1620,0.25,Randomized,0
1621,0.5,Randomized,0
1622,1.0,Randomized,0
1623,5.0,Randomized,0
1624,0.0,Naive,1
1625,0.025,Randomized,1
1626,0.05,Randomized,1
1627,0.1,Randomized,1
1628,0.25,Randomized,0
1629,0.5,Randomized,0
1630,1.0,Randomized,0
1631,5.0,Randomized,0
1632,0.0,Naive,1
1633,0.025,Randomized,1
1634,0.05,Randomized,1
1635,0.1,Randomized,1
1636,0.25,Randomized,1
1637,0.5,Randomized,0
1638,1.0,Randomized,0
1639,5.0,Randomized,0
1640,0.0,Naive,1
1641,0.025,Randomized,1
1642,0.05,Randomized,1
1643,0.1,Randomized,1
1644,0.25,Randomized,0
1645,0.5,Randomized,0
1646,1.0,Randomized,0
1647,5.0,Randomized,0
1648,0.0,Naive,1
1649,0.025,Randomized,1
1650,0.05,Randomized,1
1651,0.1,Randomized,1
1652,0.25,Randomized,0
1653,0.5,Randomized,0
1654,1.0,Randomized,0
1655,5.0,Randomized,0
1656,0.0,Naive,1
1657,0.025,Randomized,1
1658,0.05,Randomized,1
1659,0.1,Randomized,1
1660,0.25,Randomized,1
1661,0.5,Randomized,1
1662,1.0,Randomized,0
1663,5.0,Randomized,0
1664,0.0,Naive,1
1665,0.025,Randomized,1
1666,0.05,Randomized,1
1667,0.1,Randomized,1
1668,0.25,Randomized,0
1669,0.5,Randomized,0
1670,1.0,Randomized,0
1671,5.0,Randomized,0
1672,0.0,Naive,1
1673,0.025,Randomized,1
1674,0.05,Randomized,1
1675,0.1,Randomized,0
1676,0.25,Randomized,1
1677,0.5,Randomized,0
1678,1.0,Randomized,0
1679,5.0,Randomized,0
1680,0.0,Naive,0
1681,0.025,Randomized,0
1682,0.05,Randomized,0
1683,0.1,Randomized,0
1684,0.25,Randomized,0
1685,0.5,Randomized,0
1686,1.0,Randomized,0
1687,5.0,Randomized,0
1688,0.0,Naive,1
1689,0.025,Randomized,1
1690,0.05,Randomized,1
1691,0.1,Randomized,1
1692,0.25,Randomized,1
1693,0.5,Randomized,0
1694,1.0,Randomized,0
1695,5.0,Randomized,0
1696,0.0,Naive,1
1697,0.025,Randomized,1
1698,0.05,Randomized,1
1699,0.1,Randomized,1
1700,0.25,Randomized,1
1701,0.5,Randomized,0
1702,1.0,Randomized,0
1703,5.0,Randomized,0
1704,0.0,Naive,1
1705,0.025,Randomized,1
1706,0.05,Randomized,1
1707,0.1,Randomized,1
1708,0.25,Randomized,0
1709,0.5,Randomized,0
1710,1.0,Randomized,0
1711,5.0,Randomized,0
1712,0.0,Naive,1
1713,0.025,Randomized,1
1714,0.05,Randomized,1
1715,0.1,Randomized,1
1716,0.25,Randomized,1
1717,0.5,Randomized,0
1718,1.0,Randomized,0
1719,5.0,Randomized,0
1720,0.0,Naive,1
1721,0.025,Randomized,1
1722,0.05,Randomized,1
1723,0.1,Randomized,1
1724,0.25,Randomized,1
1725,0.5,Randomized,0
1726,1.0,Randomized,0
1727,5.0,Randomized,0
1728,0.0,Naive,1
1729,0.025,Randomized,1
1730,0.05,Randomized,1
1731,0.1,Randomized,1
1732,0.25,Randomized,0
1733,0.5,Randomized,0
1734,1.0,Randomized,0
1735,5.0,Randomized,0
1736,0.0,Naive,1
1737,0.025,Randomized,1
1738,0.05,Randomized,0
1739,0.1,Randomized,0
1740,0.25,Randomized,0
1741,0.5,Randomized,0
1742,1.0,Randomized,0
1743,5.0,Randomized,0
1744,0.0,Naive,1
1745,0.025,Randomized,1
1746,0.05,Randomized,1
1747,0.1,Randomized,1
1748,0.25,Randomized,0
1749,0.5,Randomized,0
1750,1.0,Randomized,0
1751,5.0,Randomized,0
1752,0.0,Naive,0
1753,0.025,Randomized,0
1754,0.05,Randomized,0
1755,0.1,Randomized,0
1756,0.25,Randomized,0
1757,0.5,Randomized,0
1758,1.0,Randomized,0
1759,5.0,Randomized,0
1760,0.0,Naive,1
1761,0.025,Randomized,1
1762,0.05,Randomized,1
1763,0.1,Randomized,1
1764,0.25,Randomized,1
1765,0.5,Randomized,0
1766,1.0,Randomized,0
1767,5.0,Randomized,0
1768,0.0,Naive,1
1769,0.025,Randomized,1
1770,0.05,Randomized,1
1771,0.1,Randomized,1
1772,0.25,Randomized,1
1773,0.5,Randomized,1
1774,1.0,Randomized,0
1775,5.0,Randomized,0
1776,0.0,Naive,0
1777,0.025,Randomized,0
1778,0.05,Randomized,0
1779,0.1,Randomized,0
1780,0.25,Randomized,0
1781,0.5,Randomized,0
1782,1.0,Randomized,0
1783,5.0,Randomized,0
1784,0.0,Naive,1
1785,0.025,Randomized,1
1786,0.05,Randomized,1
1787,0.1,Randomized,1
1788,0.25,Randomized,1
1789,0.5,Randomized,0
1790,1.0,Randomized,0
1791,5.0,Randomized,0
1792,0.0,Naive,1
1793,0.025,Randomized,1
1794,0.05,Randomized,1
1795,0.1,Randomized,1
1796,0.25,Randomized,1
1797,0.5,Randomized,0
1798,1.0,Randomized,0
1799,5.0,Randomized,0
1800,0.0,Naive,1
1801,0.025,Randomized,1
1802,0.05,Randomized,1
1803,0.1,Randomized,1
1804,0.25,Randomized,0
1805,0.5,Randomized,0
1806,1.0,Randomized,0
1807,5.0,Randomized,0
1808,0.0,Naive,1
1809,0.025,Randomized,1
1810,0.05,Randomized,1
1811,0.1,Randomized,1
1812,0.25,Randomized,1
1813,0.5,Randomized,0
1814,1.0,Randomized,0
1815,5.0,Randomized,0
1816,0.0,Naive,1
1817,0.025,Randomized,1
1818,0.05,Randomized,1
1819,0.1,Randomized,1
1820,0.25,Randomized,0
1821,0.5,Randomized,0
1822,1.0,Randomized,0
1823,5.0,Randomized,0
1824,0.0,Naive,1
1825,0.025,Randomized,1
1826,0.05,Randomized,1
1827,0.1,Randomized,1
1828,0.25,Randomized,1
1829,0.5,Randomized,0
1830,1.0,Randomized,0
1831,5.0,Randomized,0
1832,0.0,Naive,1
1833,0.025,Randomized,1
1834,0.05,Randomized,1
1835,0.1,Randomized,1
1836,0.25,Randomized,1
1837,0.5,Randomized,1
1838,1.0,Randomized,0
1839,5.0,Randomized,0
1840,0.0,Naive,1
1841,0.025,Randomized,1
1842,0.05,Randomized,1
1843,0.1,Randomized,1
1844,0.25,Randomized,1
1845,0.5,Randomized,0
1846,1.0,Randomized,0
1847,5.0,Randomized,0
1848,0.0,Naive,0
1849,0.025,Randomized,0
1850,0.05,Randomized,0
1851,0.1,Randomized,0
1852,0.25,Randomized,0
1853,0.5,Randomized,0
1854,1.0,Randomized,0
1855,5.0,Randomized,0
1856,0.0,Naive,1
1857,0.025,Randomized,1
1858,0.05,Randomized,1
1859,0.1,Randomized,1
1860,0.25,Randomized,1
1861,0.5,Randomized,0
1862,1.0,Randomized,0
1863,5.0,Randomized,0
1864,0.0,Naive,1
1865,0.025,Randomized,1
1866,0.05,Randomized,1
1867,0.1,Randomized,1
1868,0.25,Randomized,1
1869,0.5,Randomized,0
1870,1.0,Randomized,0
1871,5.0,Randomized,0
1872,0.0,Naive,1
1873,0.025,Randomized,1
1874,0.05,Randomized,1
1875,0.1,Randomized,1
1876,0.25,Randomized,0
1877,0.5,Randomized,0
1878,1.0,Randomized,0
1879,5.0,Randomized,0
1880,0.0,Naive,1
1881,0.025,Randomized,0
1882,0.05,Randomized,0
1883,0.1,Randomized,0
1884,0.25,Randomized,0
1885,0.5,Randomized,0
1886,1.0,Randomized,0
1887,5.0,Randomized,0
1888,0.0,Naive,1
1889,0.025,Randomized,1
1890,0.05,Randomized,1
1891,0.1,Randomized,1
1892,0.25,Randomized,1
1893,0.5,Randomized,0
1894,1.0,Randomized,0
1895,5.0,Randomized,0
1896,0.0,Naive,1
1897,0.025,Randomized,1
1898,0.05,Randomized,1
1899,0.1,Randomized,1
1900,0.25,Randomized,0
1901,0.5,Randomized,0
1902,1.0,Randomized,0
1903,5.0,Randomized,0
1904,0.0,Naive,1
1905,0.025,Randomized,1
1906,0.05,Randomized,1
1907,0.1,Randomized,1
1908,0.25,Randomized,1
1909,0.5,Randomized,0
1910,1.0,Randomized,0
1911,5.0,Randomized,0
1912,0.0,Naive,1
1913,0.025,Randomized,1
1914,0.05,Randomized,1
1915,0.1,Randomized,1
1916,0.25,Randomized,1
1917,0.5,Randomized,0
1918,1.0,Randomized,0
1919,5.0,Randomized,0
1920,0.0,Naive,1
1921,0.025,Randomized,1
1922,0.05,Randomized,1
1923,0.1,Randomized,1
1924,0.25,Randomized,1
1925,0.5,Randomized,0
1926,1.0,Randomized,0
1927,5.0,Randomized,0
1928,0.0,Naive,1
1929,0.025,Randomized,1
1930,0.05,Randomized,1
1931,0.1,Randomized,1
1932,0.25,Randomized,1
1933,0.5,Randomized,0
1934,1.0,Randomized,0
1935,5.0,Randomized,0
1936,0.0,Naive,0
1937,0.025,Randomized,0
1938,0.05,Randomized,0
1939,0.1,Randomized,0
1940,0.25,Randomized,0
1941,0.5,Randomized,0
1942,1.0,Randomized,0
1943,5.0,Randomized,0
1944,0.0,Naive,1
1945,0.025,Randomized,1
1946,0.05,Randomized,1
1947,0.1,Randomized,1
1948,0.25,Randomized,1
1949,0.5,Randomized,0
1950,1.0,Randomized,0
1951,5.0,Randomized,0
1952,0.0,Naive,1
1953,0.025,Randomized,1
1954,0.05,Randomized,1
1955,0.1,Randomized,1
1956,0.25,Randomized,0
1957,0.5,Randomized,0
1958,1.0,Randomized,0
1959,5.0,Randomized,0
1960,0.0,Naive,1
1961,0.025,Randomized,1
1962,0.05,Randomized,1
1963,0.1,Randomized,1
1964,0.25,Randomized,1
1965,0.5,Randomized,0
1966,1.0,Randomized,0
1967,5.0,Randomized,0
1968,0.0,Naive,1
1969,0.025,Randomized,1
1970,0.05,Randomized,1
1971,0.1,Randomized,1
1972,0.25,Randomized,1
1973,0.5,Randomized,0
1974,1.0,Randomized,0
1975,5.0,Randomized,0
1976,0.0,Naive,0
1977,0.025,Randomized,0
1978,0.05,Randomized,0
1979,0.1,Randomized,1
1980,0.25,Randomized,1
1981,0.5,Randomized,1
1982,1.0,Randomized,0
1983,5.0,Randomized,0
1984,0.0,Naive,1
1985,0.025,Randomized,1
1986,0.05,Randomized,1
1987,0.1,Randomized,1
1988,0.25,Randomized,1
1989,0.5,Randomized,0
1990,1.0,Randomized,0
1991,5.0,Randomized,0
1992,0.0,Naive,1
1993,0.025,Randomized,1
1994,0.05,Randomized,1
1995,0.1,Randomized,1
1996,0.25,Randomized,1
1997,0.5,Randomized,0
1998,1.0,Randomized,0
1999,5.0,Randomized,0
2000,0.0,Naive,1
2001,0.025,Randomized,1
2002,0.05,Randomized,1
2003,0.1,Randomized,0
2004,0.25,Randomized,0
2005,0.5,Randomized,0
2006,1.0,Randomized,0
2007,5.0,Randomized,0
2008,0.0,Naive,1
2009,0.025,Randomized,1
2010,0.05,Randomized,1
2011,0.1,Randomized,1
2012,0.25,Randomized,1
2013,0.5,Randomized,0
2014,1.0,Randomized,0
2015,5.0,Randomized,0
2016,0.0,Naive,1
2017,0.025,Randomized,1
2018,0.05,Randomized,1
2019,0.1,Randomized,1
2020,0.25,Randomized,0
2021,0.5,Randomized,0
2022,1.0,Randomized,0
2023,5.0,Randomized,0
2024,0.0,Naive,1
2025,0.025,Randomized,1
2026,0.05,Randomized,1
2027,0.1,Randomized,1
2028,0.25,Randomized,0
2029,0.5,Randomized,0
2030,1.0,Randomized,0
2031,5.0,Randomized,0
2032,0.0,Naive,0
2033,0.025,Randomized,0
2034,0.05,Randomized,0
2035,0.1,Randomized,0
2036,0.25,Randomized,0
2037,0.5,Randomized,0
2038,1.0,Randomized,0
2039,5.0,Randomized,0
2040,0.0,Naive,1
2041,0.025,Randomized,1
2042,0.05,Randomized,1
2043,0.1,Randomized,1
2044,0.25,Randomized,0
2045,0.5,Randomized,0
2046,1.0,Randomized,0
2047,5.0,Randomized,0
2048,0.0,Naive,1
2049,0.025,Randomized,1
2050,0.05,Randomized,1
2051,0.1,Randomized,1
2052,0.25,Randomized,0
2053,0.5,Randomized,0
2054,1.0,Randomized,0
2055,5.0,Randomized,0
2056,0.0,Naive,1
2057,0.025,Randomized,1
2058,0.05,Randomized,1
2059,0.1,Randomized,1
2060,0.25,Randomized,1
2061,0.5,Randomized,0
2062,1.0,Randomized,0
2063,5.0,Randomized,0
2064,0.0,Naive,1
2065,0.025,Randomized,1
2066,0.05,Randomized,1
2067,0.1,Randomized,1
2068,0.25,Randomized,0
2069,0.5,Randomized,0
2070,1.0,Randomized,0
2071,5.0,Randomized,0
2072,0.0,Naive,0
2073,0.025,Randomized,0
2074,0.05,Randomized,0
2075,0.1,Randomized,1
2076,0.25,Randomized,0
2077,0.5,Randomized,0
2078,1.0,Randomized,0
2079,5.0,Randomized,0
2080,0.0,Naive,1
2081,0.025,Randomized,1
2082,0.05,Randomized,1
2083,0.1,Randomized,1
2084,0.25,Randomized,1
2085,0.5,Randomized,0
2086,1.0,Randomized,0
